response_area_id,population,total_units,single_family,duplex,small_multifamily,large_multifamily,multifamily,mobile_other,yb_total,built_2010_plus,built_1970_2009,built_pre_1970,pct_single_family,pct_duplex,pct_small_mf,pct_large_mf,pct_multifamily,pct_built_2010_plus,pct_built_1970_2009,pct_built_pre_1970
00-0010,1086.1763812023646,428.67730675515577,336.34164732581195,0.1867234634443398,13.464813855100859,67.9602935823811,81.6118309009263,10.72382852841757,428.67730675515577,127.75621258570783,291.9858885527973,8.93520561665066,78.46033415478126,0.043558047160865726,3.1410139148773393,15.85348524670037,19.03805720873857,29.802420275696406,68.11321335457782,2.0843663697257737
00-0020,336.1265455863558,141.00405988495572,97.196517829247,0.0,25.36969122331707,16.224985147131367,41.59467637044844,2.2128656852602817,141.00405988495572,22.293445620708383,110.40764325315038,8.302971011096954,68.93171580204782,0.0,17.992170753108834,11.50675034489732,29.498921098006157,15.810499101158829,78.30103852557951,5.8884623732616586
00-0030,272.99109278841235,112.7143731750866,76.33700618710577,0.2308114839544598,17.88513312894148,17.912648864003085,36.028593476899026,0.34877351108180266,112.7143731750866,9.803401386754242,98.94440311257637,3.9665686757559975,67.72606193579811,0.20477555563914218,15.867659664982861,15.892071578287709,31.964506798909714,8.697561021366793,87.78330600204781,3.519132976585397
00-0040,562.0424343144487,253.27317731511945,227.95742904101928,1.5794040489173824,15.912362187096447,7.080752654850443,24.572518890864274,0.7432293832359472,253.27317731511945,11.667931953247406,200.46247000758012,41.14277535429193,90.00456797578583,0.6235970447641627,6.282687474362307,2.7956978034198445,9.701982322546316,4.606856547912416,79.14871686478159,16.244426587306
00-0050,817.1756915897746,355.8207838551434,301.3936286989788,4.404937653813745,37.88138798525388,11.284436808318407,53.57076244738604,0.8563927087785962,355.8207838551434,39.560925204148354,197.03980190106134,119.2200567499337,84.70377290318088,1.2379652492719535,10.646198789971638,3.1713821452634323,15.055546184507026,11.118216528985508,55.37613620155402,33.50564726946047
00-0060,984.585552410113,591.1787315695516,161.02985926492585,17.565264491557052,133.10675747730443,276.37548751856184,427.0475094874233,3.101362817202439,591.1787315695516,162.00395571781712,320.3990336058705,108.775742245864,27.23877749075972,2.9712274061216823,22.515484805062638,46.749903668692205,72.23661587987652,27.403549394901994,54.196644178187235,18.399806426910782
00-0070,1423.4311270108356,1049.5623825514313,105.94429781956079,13.843225996324824,93.20741779658324,836.3803265003603,943.4309702932684,0.1871144386019127,1049.5623825514313,291.87010637425436,629.6907666618129,128.0015095153639,10.094140146488076,1.3189521867840448,8.880598175593994,79.68848163814364,89.88803200052169,27.808743074874066,59.9955540642632,12.195702860862728
00-0080,1577.6117960149113,1124.6837884539127,165.13558620645074,8.80962916921643,116.39065394952402,834.3479191287217,959.5482022474621,0.0,1124.6837884539127,567.0176177439603,371.68761570498947,185.97855500496314,14.682845783120992,0.7832983154604644,10.348744700012494,74.18511120140607,85.31715421687902,50.41573672217963,33.04818825706942,16.53607502075097
00-0090,408.3291324208476,190.12399689452812,70.71563047857082,6.588806147740744,68.08281188436757,36.72925237569379,111.4008704078021,8.007496008155194,190.12399689452812,42.7512056080093,110.2644578282023,37.1083334583165,37.19447919969857,3.4655310509782224,35.80968893797069,19.31857786267215,58.593797851621055,22.485959850573554,57.99607604997482,19.517964099451614
00-0091,164.38433076706121,60.311275214616536,40.280985992019865,2.2806176571131274,0.0,0.31884099678376515,2.5994586538968925,17.43083056869978,60.311275214616536,16.568063070366588,37.38650488326588,6.3567072609840745,66.78848332866572,3.781411765872289,0.0,0.5286590204720021,4.310070786344291,27.470921500846146,61.98924620682734,10.53983229232652
00-0101,4364.436629035051,2721.9103009023224,483.90562865156784,27.18662036988266,192.72304502217406,2014.8855492304617,2234.7952146225184,3.209457628236357,2721.9103009023224,866.8769076990334,1355.537170541465,499.49622266182416,17.778162215380554,0.9988066234537635,7.080433361756473,74.0246858451772,82.10392583038744,31.84810709638965,49.80094935869488,18.350943544915477
00-0102,5288.592661842738,3663.9947563200876,92.47131293526357,7.638000787720857,134.21203819472106,3428.931346983325,3570.7813859657667,0.7420574190571068,3663.9947563200876,1044.736371882735,2214.5892483764446,404.6691360609074,2.523783986747203,0.20846101852482016,3.662997551053161,93.58450475587343,97.45596332545139,28.513588074345662,60.441932799070244,11.044479126584083
00-0103,21.818662530060237,14.76599871451465,0.924939516792864,0.3964026500540846,2.8408856587209392,10.603770888946762,13.841059197721787,0.0,14.76599871451465,1.2387582814190143,3.9805432776264325,9.546697155469204,6.263982102908278,2.684563758389262,19.23937360178971,71.81208053691276,93.73601789709173,8.389261744966444,26.957494407158837,64.65324384787472
00-0201,12569.788333014378,3175.7249070818425,406.86698630436206,53.80143828788813,745.7876112855093,1969.2688712040836,2768.857920777481,0.0,3175.7249070818425,794.4966826669626,1831.3583560057984,549.8698684090818,12.811783079732496,1.6941466865694612,23.48401178018942,62.01005845350864,87.18821692026752,25.017805569217945,57.6674116804602,17.31478275032186
00-0202,1217.1197126407833,815.6872879964707,63.25627458130747,22.062851806431134,157.6548161176617,572.6937425951111,752.4114105192039,0.01960289595929097,815.6872879964707,71.2857345560189,220.09434599872372,524.307207441728,7.754966334792406,2.7048174136221914,19.327850076577857,70.2099629383447,92.24263042854474,8.73934602206616,26.98268677685658,64.27796720107726
