urban_class,population,total_units,single_family,multifamily,total_incidents,structure_fires,area_sq_miles,num_response_areas,incidents_per_1000_pop,incidents_per_1000_units,structure_fires_per_1000_units,pop_density,pct_single_family,annual_incidents_per_1000_pop,annual_incidents_per_1000_units
urban_core,38257.967304847814,12535.134082845447,2249.0752101678895,10257.19656672804,621.0,122.0,2.557179764549429,4,16.23191308235842,49.54075448222365,9.73264419779595,14961.000331390002,17.942171143153455,5.410637694119473,16.513584827407882
inner_suburban,716268.0719156157,341294.5660467673,167233.59856593175,169401.51287774532,14889.0,2223.0,145.1755165354661,166,20.786910074297,43.62507195019265,6.5134350826300125,4933.807635123053,48.99978353098533,6.928970024765667,14.541690650064217
outer_suburban,534539.2659563294,217802.99041038952,154173.21408431084,49714.24041524075,4617.0,689.0,4421.4323040472955,500,8.637344895028157,21.198056056533197,3.1634092750598604,120.89730865426172,70.78562777940469,2.8791149650093857,7.066018685511065
