sf_category,population,total_units,total_incidents,structure_fires,num_response_areas,incidents_per_1000_pop,incidents_per_1000_units,structure_fires_per_1000_units
<25% SF,143573.96878961206,73544.42893896259,4286.0,631.0,49,29.852208141439238,58.27769773774598,8.579847707073661
25-50% SF,346143.9555074166,169333.3555237052,8129.0,1125.0,128,23.484448798430122,48.005899220853806,6.643699916774577
50-75% SF,367738.3922334878,162096.000234015,5665.0,939.0,184,15.404972990699125,34.94842557386699,5.792863479940178
>75% SF,429897.74144003086,166658.9058433195,2047.0,339.0,308,4.76159747465328,12.282571937226324,2.0340947174986437
