B01003_001E,NAME,state,county,tract
4119,Census Tract 368; Travis County; Texas,48,453,036800
4204,Census Tract 369; Travis County; Texas,48,453,036900
5642,Census Tract 370; Travis County; Texas,48,453,037000
2527,Census Tract 371; Travis County; Texas,48,453,037100
6481,Census Tract 372; Travis County; Texas,48,453,037200
3174,Census Tract 373; Travis County; Texas,48,453,037300
4134,Census Tract 374; Travis County; Texas,48,453,037400
1555,Census Tract 375; Travis County; Texas,48,453,037500
3863,Census Tract 376; Travis County; Texas,48,453,037600
5994,Census Tract 400; Travis County; Texas,48,453,040000
4505,Census Tract 401; Travis County; Texas,48,453,040100
3258,Census Tract 402; Travis County; Texas,48,453,040200
6670,Census Tract 403; Travis County; Texas,48,453,040300
3716,Census Tract 404; Travis County; Texas,48,453,040400
6523,Census Tract 405; Travis County; Texas,48,453,040500
3516,Census Tract 406; Travis County; Texas,48,453,040600
7096,Census Tract 407; Travis County; Texas,48,453,040700
5406,Census Tract 408; Travis County; Texas,48,453,040800
6507,Census Tract 409; Travis County; Texas,48,453,040900
7138,Census Tract 410; Travis County; Texas,48,453,041000
1564,Census Tract 411; Travis County; Texas,48,453,041100
3108,Census Tract 412; Travis County; Texas,48,453,041200
4393,Census Tract 413; Travis County; Texas,48,453,041300
2838,Census Tract 414; Travis County; Texas,48,453,041400
3107,Census Tract 415; Travis County; Texas,48,453,041500
8459,Census Tract 416; Travis County; Texas,48,453,041600
2666,Census Tract 417; Travis County; Texas,48,453,041700
3947,Census Tract 418; Travis County; Texas,48,453,041800
3283,Census Tract 419; Travis County; Texas,48,453,041900
2681,Census Tract 420; Travis County; Texas,48,453,042000
4956,Census Tract 421; Travis County; Texas,48,453,042100
3941,Census Tract 422; Travis County; Texas,48,453,042200
3858,Census Tract 423; Travis County; Texas,48,453,042300
11382,Census Tract 424; Travis County; Texas,48,453,042400
7105,Census Tract 425; Travis County; Texas,48,453,042500
3742,Census Tract 426; Travis County; Texas,48,453,042600
4984,Census Tract 427; Travis County; Texas,48,453,042700
8274,Census Tract 428; Travis County; Texas,48,453,042800
3241,Census Tract 429; Travis County; Texas,48,453,042900
3481,Census Tract 430; Travis County; Texas,48,453,043000
2307,Census Tract 431; Travis County; Texas,48,453,043100
3350,Census Tract 432; Travis County; Texas,48,453,043200
4086,Census Tract 433; Travis County; Texas,48,453,043300
5355,Census Tract 434; Travis County; Texas,48,453,043400
7129,Census Tract 435; Travis County; Texas,48,453,043500
4599,Census Tract 436; Travis County; Texas,48,453,043600
2537,Census Tract 437; Travis County; Texas,48,453,043700
3644,Census Tract 438; Travis County; Texas,48,453,043800
7551,Census Tract 439; Travis County; Texas,48,453,043900
5366,Census Tract 440; Travis County; Texas,48,453,044000
2852,Census Tract 441; Travis County; Texas,48,453,044100
5684,Census Tract 442; Travis County; Texas,48,453,044200
6896,Census Tract 443; Travis County; Texas,48,453,044300
5946,Census Tract 444; Travis County; Texas,48,453,044400
5274,Census Tract 445; Travis County; Texas,48,453,044500
4334,Census Tract 446; Travis County; Texas,48,453,044600
1969,Census Tract 447; Travis County; Texas,48,453,044700
4206,Census Tract 448; Travis County; Texas,48,453,044800
10977,Census Tract 449; Travis County; Texas,48,453,044900
2437,Census Tract 450; Travis County; Texas,48,453,045000
3250,Census Tract 451; Travis County; Texas,48,453,045100
3930,Census Tract 452; Travis County; Texas,48,453,045200
4108,Census Tract 453; Travis County; Texas,48,453,045300
6281,Census Tract 454; Travis County; Texas,48,453,045400
4594,Census Tract 455; Travis County; Texas,48,453,045500
5088,Census Tract 456; Travis County; Texas,48,453,045600
3361,Census Tract 457; Travis County; Texas,48,453,045700
4391,Census Tract 458; Travis County; Texas,48,453,045800
13357,Census Tract 459; Travis County; Texas,48,453,045900
4823,Census Tract 460; Travis County; Texas,48,453,046000
5573,Census Tract 461; Travis County; Texas,48,453,046100
7100,Census Tract 462; Travis County; Texas,48,453,046200
1936,Census Tract 463; Travis County; Texas,48,453,046300
3248,Census Tract 464; Travis County; Texas,48,453,046400
3455,Census Tract 465; Travis County; Texas,48,453,046500
11233,Census Tract 466; Travis County; Texas,48,453,046600
3572,Census Tract 467; Travis County; Texas,48,453,046700
11450,Census Tract 468; Travis County; Texas,48,453,046800
8199,Census Tract 469; Travis County; Texas,48,453,046900
1455,Census Tract 470; Travis County; Texas,48,453,047000
0,Census Tract 9800; Travis County; Texas,48,453,980000
